 Number of trucks in short rest 

RestArea      TimeNumber of turcks
Rest Area 0

                   0         0
                   1         2
                   2        11
                   3        56
                   4       134
                   5       195
                   6       254
                   7       273
                   8       275
                   9       247
                  10       193
                  11       151
                  12       107
                  13        91
                  14        71
                  15        52
                  16        35
                  17        32
                  18        27
                  19        18
                  20        17
                  21        14
                  22        11
                  23         6
Rest Area 1

                   0        43
                   1        33
                   2        29
                   3        22
                   4        26
                   5        42
                   6        55
                   7        64
                   8        56
                   9        52
                  10        43
                  11        39
                  12        33
                  13        23
                  14        11
                  15         7
                  16         6
                  17         5
                  18         6
                  19         8
                  20         8
                  21         5
                  22         3
                  23         0
Rest Area 2

                   0        17
                   1        15
                   2        14
                   3        13
                   4        23
                   5        27
                   6        41
                   7        45
                   8        49
                   9        43
                  10        39
                  11        33
                  12        28
                  13        23
                  14        22
                  15        19
                  16        13
                  17        12
                  18         9
                  19         5
                  20         1
                  21         2
                  22         5
                  23         4
Rest Area 3

                   0        10
                   1         8
                   2         7
                   3        11
                   4        13
                   5        27
                   6        47
                   7        61
                   8        59
                   9        51
                  10        43
                  11        34
                  12        28
                  13        24
                  14        18
                  15        19
                  16        16
                  17        13
                  18         6
                  19         6
                  20         6
                  21         3
                  22         4
                  23         3
Rest Area 4

                   0         8
                   1         5
                   2         2
                   3        11
                   4        51
                   5       169
                   6       388
                   7       640
                   8       826
                   9       891
                  10       931
                  11       875
                  12       793
                  13       638
                  14       530
                  15       439
                  16       370
                  17       293
                  18       221
                  19       165
                  20       124
                  21        87
                  22        74
                  23        41
Rest Area 5

                   0       241
                   1       172
                   2       129
                   3        96
                   4        77
                   5        63
                   6        60
                   7        94
                   8       170
                   9       248
                  10       333
                  11       360
                  12       361
                  13       327
                  14       281
                  15       242
                  16       186
                  17       143
                  18       109
                  19        92
                  20        81
                  21        56
                  22        32
                  23        15
Rest Area 6

                   0       795
                   1       613
                   2       468
                   3       337
                   4       257
                   5       187
                   6       136
                   7       104
                   8       109
                   9       152
                  10       214
                  11       259
                  12       261
                  13       254
                  14       229
                  15       199
                  16       158
                  17       128
                  18        99
                  19        79
                  20        52
                  21        38
                  22        24
                  23        17
Rest Area 7

                   0         0
                   1         0
                   2         0
                   3         0
                   4         0
                   5         0
                   6         1
                   7        16
                   8        91
                   9       259
                  10       472
                  11       637
                  12       703
                  13       684
                  14       629
                  15       532
                  16       467
                  17       343
                  18       294
                  19       226
                  20       185
                  21       134
                  22       108
                  23        68
Rest Area 8

                   0         0
                   1         0
                   2         0
                   3         0
                   4         0
                   5         0
                   6         1
                   7         7
                   8        26
                   9        57
                  10        96
                  11       122
                  12       154
                  13       171
                  14       147
                  15       121
                  16        95
                  17        78
                  18        64
                  19        49
                  20        37
                  21        33
                  22        30
                  23        20
Rest Area 9

                   0         0
                   1         0
                   2         0
                   3         0
                   4         0
                   5         0
                   6         0
                   7         3
                   8        24
                   9        61
                  10       107
                  11       144
                  12       167
                  13       159
                  14       134
                  15       118
                  16        99
                  17        78
                  18        58
                  19        42
                  20        29
                  21        22
                  22        16
                  23         7
Rest Area 10

                   0       326
                   1       278
                   2       239
                   3       189
                   4       139
                   5       105
                   6        68
                   7        53
                   8        35
                   9        32
                  10        30
                  11        32
                  12        29
                  13        24
                  14        19
                  15        15
                  16        16
                  17        15
                  18        15
                  19        13
                  20         9
                  21         3
                  22         3
                  23         3
Rest Area 11

                   0       370
                   1       317
                   2       260
                   3       216
                   4       158
                   5       130
                   6        99
                   7        65
                   8        39
                   9        29
                  10        25
                  11        18
                  12        12
                  13         8
                  14         8
                  15         6
                  16         4
                  17         5
                  18         5
                  19         5
                  20         4
                  21         4
                  22         1
                  23         1
Rest Area 12

                   0      1038
                   1       900
                   2       767
                   3       609
                   4       477
                   5       362
                   6       263
                   7       183
                   8       122
                   9        88
                  10        61
                  11        46
                  12        35
                  13        34
                  14        25
                  15        22
                  16        14
                  17        11
                  18         9
                  19         7
                  20         8
                  21         5
                  22         4
                  23         3
Rest Area 13

                   0        19
                   1        17
                   2        13
                   3         9
                   4         7
                   5         4
                   6         3
                   7         2
                   8         0
                   9         1
                  10         2
                  11         4
                  12         3
                  13         5
                  14         7
                  15        10
                  16        10
                  17         6
                  18         4
                  19         2
                  20         1
                  21         1
                  22         2
                  23         2
Rest Area 14

                   0         5
                   1         3
                   2         2
                   3         1
                   4         0
                   5         0
                   6         0
                   7         0
                   8         3
                   9         5
                  10        18
                  11        27
                  12        28
                  13        22
                  14        23
                  15        21
                  16        18
                  17        15
                  18        10
                  19         9
                  20         5
                  21         5
                  22         3
                  23         1
Rest Area 15

                   0        18
                   1        14
                   2        12
                   3         9
                   4         5
                   5         4
                   6         1
                   7         1
                   8         4
                   9         5
                  10         4
                  11         4
                  12         6
                  13         7
                  14         8
                  15         7
                  16         4
                  17         2
                  18         1
                  19         1
                  20         1
                  21         0
                  22         0
                  23         0
Rest Area 16

                   0         6
                   1         4
                   2         4
                   3         4
                   4         3
                   5         2
                   6         2
                   7         2
                   8         3
                   9         5
                  10        12
                  11        21
                  12        31
                  13        32
                  14        27
                  15        20
                  16        18
                  17        18
                  18        17
                  19        14
                  20         7
                  21         7
                  22         5
                  23         3
Rest Area 17

                   0        18
                   1        12
                   2        10
                   3         9
                   4         4
                   5         3
                   6         1
                   7         0
                   8         1
                   9         4
                  10         4
                  11         5
                  12        11
                  13        12
                  14        11
                  15         5
                  16         6
                  17         8
                  18         7
                  19         4
                  20         2
                  21         2
                  22         1
                  23         0
Rest Area 18

                   0         5
                   1         5
                   2         3
                   3         1
                   4         0
                   5         0
                   6         0
                   7         0
                   8         0
                   9         0
                  10         0
                  11         0
                  12         0
                  13         0
                  14         0
                  15         0
                  16         0
                  17         0
                  18         0
                  19         0
                  20         0
                  21         0
                  22         0
                  23         0
Rest Area 19

                   0         0
                   1         0
                   2         0
                   3         0
                   4         0
                   5         0
                   6         0
                   7         0
                   8         0
                   9         0
                  10         0
                  11         0
                  12         0
                  13         0
                  14         0
                  15         0
                  16         0
                  17         0
                  18         0
                  19         0
                  20         0
                  21         0
                  22         0
                  23         0
